"appt_number";"xa_original_agency";"xa_work_type";"status";"fecha"
"1330057886";"VINA DEL MAR";"At--------";"complete";"8/7/2026"
"1330041097";"VINA DEL MAR";"At--------";"complete";"8/7/2026"
"1330044858";"VALPARAISO";"At--------";"complete";"8/7/2026"
"1330053181";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1330054619";"VINA DEL MAR";"At------At";"complete";"8/7/2026"
"1330048483";"SAN ANTONIO";"At--------";"complete";"8/8/2026"
"1330051266";"SAN ANTONIO";"At--------";"complete";"8/7/2026"
"1330060462";"VINA DEL MAR";"At--------";"complete";"8/10/2026"
"1334414025";"VINA DEL MAR";"At------At";"complete";"8/15/2026"
"1334484505";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1335979364";"VINA DEL MAR";"At--------";"complete";"8/15/2026"
"1334312565";"VALPARAISO";"At--------";"complete";"8/15/2026"
"1334352867";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1334415250";"SAN ANTONIO";"At------At";"complete";"8/15/2026"
"1333919029";"VINA DEL MAR";"At------At";"complete";"8/15/2026"
"1333946709";"SAN ANTONIO";"At--------";"complete";"8/15/2026"
"1334173666";"SAN ANTONIO";"At--------";"complete";"8/15/2026"
"1334355395";"VALPARAISO";"At--------";"complete";"8/14/2026"
"1334437361";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1335756713";"SAN ANTONIO";"At--------";"complete";"8/15/2026"
"1333800648";"VINA DEL MAR";"At--------";"complete";"8/15/2026"
"1333840143";"VALPARAISO";"At------At";"complete";"8/13/2026"
"1335498889";"VALPARAISO";"At--------";"complete";"8/15/2026"
"1336023050";"VINA DEL MAR";"At--------";"complete";"8/15/2026"
"1333801739";"VALPARAISO";"At--------";"complete";"8/15/2026"
"1333840527";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1334440763";"VINA DEL MAR";"At--------";"complete";"8/15/2026"
"1335770668";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333841556";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1334333903";"VINA DEL MAR";"At------At";"complete";"8/15/2026"
"1334360737";"SAN ANTONIO";"At--------";"complete";"8/13/2026"
"1335659150";"SAN ANTONIO";"At--------";"complete";"8/15/2026"
"1333408802";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333719614";"SAN ANTONIO";"At--------";"complete";"8/12/2026"
"1333826971";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333842433";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1333864761";"VALPARAISO";"At--------";"complete";"8/14/2026"
"1333865699";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1335529788";"SAN ANTONIO";"At--------";"complete";"8/15/2026"
"1333409644";"VINA DEL MAR";"At--------";"complete";"8/15/2026"
"1333409906";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333480392";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1333765863";"VINA DEL MAR";"At------At";"complete";"8/14/2026"
"1333890585";"VALPARAISO";"At--------";"complete";"8/14/2026"
"1333975675";"VINA DEL MAR";"At------At";"complete";"8/13/2026"
"1334017902";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1334224356";"VALPARAISO";"At--------";"complete";"8/15/2026"
"1334404746";"SAN ANTONIO";"At--------";"complete";"8/14/2026"
"1333410313";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1334364758";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1334390047";"VINA DEL MAR";"At------At";"complete";"8/15/2026"
"1335393118";"SAN ANTONIO";"At--------";"complete";"8/15/2026"
"1335804650";"VINA DEL MAR";"At--------";"complete";"8/15/2026"
"1333432884";"VINA DEL MAR";"At------At";"complete";"8/14/2026"
"1333490012";"VINA DEL MAR";"At------At";"complete";"8/13/2026"
"1333809525";"VINA DEL MAR";"At------At";"complete";"8/12/2026"
"1335403788";"VINA DEL MAR";"At--------";"complete";"8/15/2026"
"1333788514";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333899871";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1334407745";"SAN ANTONIO";"At--------";"complete";"8/14/2026"
"1333399504";"SAN ANTONIO";"At------At";"complete";"8/13/2026"
"1333399867";"SAN ANTONIO";"At--------";"complete";"8/12/2026"
"1333727380";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1333730792";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333810905";"VALPARAISO";"At------At";"complete";"8/13/2026"
"1334474946";"SAN ANTONIO";"At--------";"complete";"8/15/2026"
"1333742364";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333791874";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1333791907";"SAN ANTONIO";"At--------";"complete";"8/14/2026"
"1333874068";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1335563398";"VINA DEL MAR";"At------At";"complete";"8/14/2026"
"1335566871";"VALPARAISO";"At--------";"complete";"8/15/2026"
"1335864327";"VINA DEL MAR";"At--------";"complete";"8/15/2026"
"1333415373";"VINA DEL MAR";"At------At";"complete";"8/14/2026"
"1333833693";"SAN ANTONIO";"At--------";"complete";"8/15/2026"
"1333994282";"VINA DEL MAR";"At------At";"complete";"8/14/2026"
"1334037927";"SAN ANTONIO";"At--------";"complete";"8/13/2026"
"1334506954";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1333402284";"VINA DEL MAR";"At------At";"complete";"8/12/2026"
"1333814226";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1333878464";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1333938403";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333997304";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1334306258";"VALPARAISO";"At--------";"complete";"8/15/2026"
"1334348443";"SAN ANTONIO";"At--------";"complete";"8/13/2026"
"1333402437";"VALPARAISO";"At------At";"complete";"8/14/2026"
"1333417521";"VINA DEL MAR";"At------At";"complete";"8/14/2026"
"1333796298";"SAN ANTONIO";"At------At";"complete";"8/14/2026"
"1334102555";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1335585244";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1335734224";"SAN ANTONIO";"At--------";"complete";"8/15/2026"
"1333821606";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1332578013";"VALPARAISO";"At------At";"complete";"8/15/2026"
"1332598072";"VINA DEL MAR";"At--------";"complete";"8/10/2026"
"1332745847";"VINA DEL MAR";"At------At";"complete";"8/13/2026"
"1332812615";"VALPARAISO";"At------At";"complete";"8/13/2026"
"1332834119";"SAN ANTONIO";"At------At";"complete";"8/15/2026"
"1332834127";"VALPARAISO";"At--------";"complete";"8/12/2026"
"1332854772";"VINA DEL MAR";"At------At";"complete";"8/10/2026"
"1332855143";"VALPARAISO";"At--------";"complete";"8/12/2026"
"1332896154";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1332946504";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1332963175";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1332979899";"VINA DEL MAR";"At------At";"complete";"8/12/2026"
"1332986995";"VALPARAISO";"At------At";"complete";"8/14/2026"
"1333036694";"VALPARAISO";"At--------";"complete";"8/13/2026"
"1333038486";"VALPARAISO";"At--------";"complete";"8/13/2026"
"1332052390";"SAN ANTONIO";"At--------";"complete";"8/15/2026"
"1332128624";"VALPARAISO";"At--------";"complete";"8/12/2026"
"1332144595";"VINA DEL MAR";"At--------";"complete";"8/10/2026"
"1332746024";"VINA DEL MAR";"At------At";"complete";"8/11/2026"
"1332764832";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1332811604";"VALPARAISO";"At--------";"complete";"8/13/2026"
"1332885193";"VINA DEL MAR";"At------At";"complete";"8/12/2026"
"1332896944";"VALPARAISO";"At--------";"complete";"8/14/2026"
"1332937382";"VINA DEL MAR";"At------At";"complete";"8/10/2026"
"1332943534";"VINA DEL MAR";"At------At";"complete";"8/13/2026"
"1332944132";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1332946779";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1332949831";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1332970430";"VINA DEL MAR";"At------At";"complete";"8/12/2026"
"1332999327";"VINA DEL MAR";"At------At";"complete";"8/14/2026"
"1333037480";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1332035936";"VALPARAISO";"At--------";"complete";"8/11/2026"
"1332099334";"VALPARAISO";"At--------";"complete";"8/11/2026"
"1332659147";"VALPARAISO";"At--------";"complete";"8/14/2026"
"1332814375";"VINA DEL MAR";"At------At";"complete";"8/11/2026"
"1332823022";"VINA DEL MAR";"At------At";"complete";"8/14/2026"
"1332828678";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1332898012";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1332944408";"VALPARAISO";"At------At";"complete";"8/13/2026"
"1332947623";"VALPARAISO";"At------At";"complete";"8/13/2026"
"1332964590";"SAN ANTONIO";"At--------";"complete";"8/11/2026"
"1332971470";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1332989268";"SAN ANTONIO";"At------At";"complete";"8/13/2026"
"1333007099";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1332054356";"VALPARAISO";"At--------";"complete";"8/11/2026"
"1332100665";"VINA DEL MAR";"At------At";"complete";"8/11/2026"
"1332164152";"VALPARAISO";"At------At";"complete";"8/12/2026"
"1332454858";"SAN ANTONIO";"At--------";"complete";"8/8/2026"
"1332476358";"VALPARAISO";"At--------";"complete";"8/15/2026"
"1332512510";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1332660743";"VINA DEL MAR";"At------At";"complete";"8/14/2026"
"1332661696";"VINA DEL MAR";"At------At";"complete";"8/11/2026"
"1332825499";"VALPARAISO";"At--------";"complete";"8/10/2026"
"1332830017";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1332836262";"VALPARAISO";"At--------";"complete";"8/14/2026"
"1332841394";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1332925050";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1332945134";"VINA DEL MAR";"At------At";"complete";"8/12/2026"
"1333025335";"VINA DEL MAR";"At------At";"complete";"8/13/2026"
"1333037955";"VINA DEL MAR";"At------At";"complete";"8/13/2026"
"1333394811";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1333387308";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333043040";"VALPARAISO";"At--------";"complete";"8/11/2026"
"1332848886";"VINA DEL MAR";"At------At";"complete";"8/13/2026"
"1332866057";"VINA DEL MAR";"At------At";"complete";"8/11/2026"
"1332926840";"SAN ANTONIO";"At------At";"complete";"8/11/2026"
"1332966102";"VINA DEL MAR";"At--------";"complete";"8/10/2026"
"1332973028";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1333025751";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333043641";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1333051327";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1332458708";"SAN ANTONIO";"At--------";"complete";"8/15/2026"
"1332514181";"VINA DEL MAR";"At------At";"complete";"8/8/2026"
"1332606354";"VALPARAISO";"At--------";"complete";"8/12/2026"
"1332752170";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1332859677";"VINA DEL MAR";"At------At";"complete";"8/11/2026"
"1332900869";"VALPARAISO";"At--------";"complete";"8/13/2026"
"1332913102";"VALPARAISO";"At------At";"complete";"8/13/2026"
"1332990135";"SAN ANTONIO";"At--------";"complete";"8/13/2026"
"1333051503";"VINA DEL MAR";"At------At";"complete";"8/12/2026"
"1333055128";"SAN ANTONIO";"At------At";"complete";"8/12/2026"
"1333176647";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1333205721";"VALPARAISO";"At--------";"complete";"8/14/2026"
"1333236131";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1331994620";"VALPARAISO";"At------At";"complete";"8/10/2026"
"1332057487";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1332073750";"VINA DEL MAR";"At--------";"complete";"8/8/2026"
"1332132812";"VALPARAISO";"At------At";"complete";"8/12/2026"
"1332168619";"SAN ANTONIO";"At--------";"complete";"8/14/2026"
"1332515084";"VINA DEL MAR";"At--------";"complete";"8/10/2026"
"1332607968";"VALPARAISO";"At--------";"complete";"8/14/2026"
"1332729865";"SAN ANTONIO";"At------At";"complete";"8/12/2026"
"1332843521";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1332927934";"VALPARAISO";"At--------";"complete";"8/11/2026"
"1332974701";"SAN ANTONIO";"At--------";"complete";"8/13/2026"
"1333192427";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333244220";"VALPARAISO";"At--------";"complete";"8/13/2026"
"1333247932";"VALPARAISO";"At------At";"complete";"8/13/2026"
"1333260123";"SAN ANTONIO";"At------At";"complete";"8/14/2026"
"1332075663";"VINA DEL MAR";"At------At";"complete";"8/10/2026"
"1332104764";"VINA DEL MAR";"At--------";"complete";"8/10/2026"
"1332171278";"VALPARAISO";"At------At";"complete";"8/10/2026"
"1332460485";"VALPARAISO";"At--------";"complete";"8/12/2026"
"1332516576";"VALPARAISO";"At------At";"complete";"8/8/2026"
"1332567906";"VINA DEL MAR";"At------At";"complete";"8/12/2026"
"1332609821";"VALPARAISO";"At--------";"complete";"8/12/2026"
"1332891131";"VALPARAISO";"At--------";"complete";"8/12/2026"
"1332902762";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1332903100";"VINA DEL MAR";"At--------";"complete";"8/10/2026"
"1332967876";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1333010450";"SAN ANTONIO";"At--------";"complete";"8/11/2026"
"1333018261";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1333018310";"VALPARAISO";"At--------";"complete";"8/14/2026"
"1333240767";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333260152";"VINA DEL MAR";"At------At";"complete";"8/13/2026"
"1333273564";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1332088185";"VALPARAISO";"At------At";"complete";"8/14/2026"
"1332134893";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1332463249";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1332482070";"VALPARAISO";"At------At";"complete";"8/15/2026"
"1332586389";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1332612586";"SAN ANTONIO";"At--------";"complete";"8/13/2026"
"1332993547";"SAN ANTONIO";"At--------";"complete";"8/13/2026"
"1333010862";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1333027845";"SAN ANTONIO";"At--------";"complete";"8/13/2026"
"1333255744";"VINA DEL MAR";"At------At";"complete";"8/14/2026"
"1333259001";"VALPARAISO";"At--------";"complete";"8/14/2026"
"1333270528";"VALPARAISO";"At------At";"complete";"8/13/2026"
"1333277710";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333288361";"VINA DEL MAR";"At------At";"complete";"8/12/2026"
"1333290974";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1332023433";"VINA DEL MAR";"At--------";"complete";"8/10/2026"
"1332135218";"SAN ANTONIO";"At------At";"complete";"8/12/2026"
"1332463898";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1332483828";"VINA DEL MAR";"At--------";"complete";"8/8/2026"
"1332614335";"VINA DEL MAR";"At------At";"complete";"8/11/2026"
"1332756613";"VINA DEL MAR";"At--------";"complete";"8/10/2026"
"1332879738";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1332916642";"VALPARAISO";"At--------";"complete";"8/10/2026"
"1333271252";"SAN ANTONIO";"At--------";"complete";"8/15/2026"
"1333275004";"VINA DEL MAR";"At------At";"complete";"8/13/2026"
"1333282021";"SAN ANTONIO";"At------At";"complete";"8/12/2026"
"1333328391";"VINA DEL MAR";"At------At";"complete";"8/14/2026"
"1332123435";"VALPARAISO";"At--------";"complete";"8/11/2026"
"1332175662";"VINA DEL MAR";"At--------";"complete";"8/8/2026"
"1332207913";"VINA DEL MAR";"At--------";"complete";"8/10/2026"
"1332484653";"VINA DEL MAR";"At--------";"complete";"8/10/2026"
"1332641442";"VALPARAISO";"At--------";"complete";"8/11/2026"
"1332871874";"VALPARAISO";"At--------";"complete";"8/12/2026"
"1332905801";"VALPARAISO";"At--------";"complete";"8/13/2026"
"1332931370";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333011828";"VALPARAISO";"At--------";"complete";"8/13/2026"
"1333012368";"VINA DEL MAR";"At------At";"complete";"8/12/2026"
"1333279153";"VINA DEL MAR";"At------At";"complete";"8/11/2026"
"1333279305";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1333289416";"VALPARAISO";"At--------";"complete";"8/14/2026"
"1333310087";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333312418";"SAN ANTONIO";"At--------";"complete";"8/13/2026"
"1333316186";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333388865";"SAN ANTONIO";"At------At";"complete";"8/14/2026"
"1333378693";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1332003253";"VINA DEL MAR";"At------At";"complete";"8/10/2026"
"1332004162";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1332136319";"VINA DEL MAR";"At------At";"complete";"8/13/2026"
"1332504379";"VALPARAISO";"At--------";"complete";"8/10/2026"
"1332536854";"VINA DEL MAR";"At--------";"complete";"8/8/2026"
"1332573171";"SAN ANTONIO";"At--------";"complete";"8/10/2026"
"1332616533";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1332737764";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1332780094";"VALPARAISO";"At--------";"complete";"8/15/2026"
"1332894817";"VALPARAISO";"At--------";"complete";"8/13/2026"
"1332907107";"SAN ANTONIO";"At------At";"complete";"8/13/2026"
"1332918622";"VALPARAISO";"At------At";"complete";"8/14/2026"
"1332998121";"VALPARAISO";"At------At";"complete";"8/12/2026"
"1333005228";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1333020445";"VALPARAISO";"At------At";"complete";"8/13/2026"
"1333020592";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1333296569";"VALPARAISO";"At--------";"complete";"8/14/2026"
"1333311029";"VALPARAISO";"At--------";"complete";"8/14/2026"
"1333311049";"VALPARAISO";"At------At";"complete";"8/13/2026"
"1333313072";"VALPARAISO";"At--------";"complete";"8/14/2026"
"1333329835";"VINA DEL MAR";"At------At";"complete";"8/12/2026"
"1333379171";"VALPARAISO";"At--------";"complete";"8/13/2026"
"1333338538";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1333340057";"VALPARAISO";"At------At";"complete";"8/14/2026"
"1333340117";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333340612";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1333350784";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1333350817";"VINA DEL MAR";"At------At";"complete";"8/14/2026"
"1332156424";"SAN ANTONIO";"At--------";"complete";"8/15/2026"
"1332178614";"SAN ANTONIO";"At--------";"complete";"8/11/2026"
"1332574336";"VALPARAISO";"At--------";"complete";"8/12/2026"
"1332714500";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1332783529";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1332895436";"VINA DEL MAR";"At--------";"complete";"8/10/2026"
"1333319737";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333321425";"VINA DEL MAR";"At------At";"complete";"8/12/2026"
"1333355732";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1333044398";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1332109391";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1332214896";"VINA DEL MAR";"At--------";"complete";"8/8/2026"
"1332446876";"VINA DEL MAR";"At--------";"complete";"8/10/2026"
"1332539435";"SAN ANTONIO";"At--------";"complete";"8/13/2026"
"1332621572";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1332715647";"VINA DEL MAR";"At------At";"complete";"8/12/2026"
"1332920059";"SAN ANTONIO";"At------At";"complete";"8/12/2026"
"1332933983";"VINA DEL MAR";"At------At";"complete";"8/12/2026"
"1333030496";"VALPARAISO";"At--------";"complete";"8/12/2026"
"1333336498";"SAN ANTONIO";"At--------";"complete";"8/12/2026"
"1333353506";"VALPARAISO";"At--------";"complete";"8/14/2026"
"1333353712";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333353763";"SAN ANTONIO";"At------At";"complete";"8/14/2026"
"1333048379";"VINA DEL MAR";"At------At";"complete";"8/12/2026"
"1333048558";"VINA DEL MAR";"At------At";"complete";"8/13/2026"
"1333052250";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1333217774";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1332449007";"VINA DEL MAR";"At------At";"complete";"8/10/2026"
"1332489192";"VINA DEL MAR";"At--------";"complete";"8/10/2026"
"1332490432";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1332717945";"VINA DEL MAR";"At------At";"complete";"8/11/2026"
"1332719228";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1332741374";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1332761838";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1332934163";"VALPARAISO";"At------At";"complete";"8/13/2026"
"1333361023";"VALPARAISO";"At--------";"complete";"8/11/2026"
"1333373054";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1333042376";"VALPARAISO";"At--------";"complete";"8/13/2026"
"1333046246";"SAN ANTONIO";"At--------";"complete";"8/12/2026"
"1333060445";"VALPARAISO";"At--------";"complete";"8/13/2026"
"1333173778";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1333223949";"VINA DEL MAR";"At--------";"complete";"8/12/2026"
"1333229223";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1332808425";"VALPARAISO";"At--------";"complete";"8/11/2026"
"1332067176";"VALPARAISO";"At--------";"complete";"8/12/2026"
"1332218457";"VALPARAISO";"At--------";"complete";"8/12/2026"
"1332451293";"VALPARAISO";"At--------";"complete";"8/8/2026"
"1332472682";"VINA DEL MAR";"At------At";"complete";"8/10/2026"
"1332509441";"VALPARAISO";"At------At";"complete";"8/12/2026"
"1332742533";"VALPARAISO";"At------At";"complete";"8/10/2026"
"1333370835";"VALPARAISO";"At--------";"complete";"8/14/2026"
"1333372621";"VINA DEL MAR";"At--------";"complete";"8/14/2026"
"1333376438";"VINA DEL MAR";"At------At";"complete";"8/14/2026"
"1333376773";"SAN ANTONIO";"At------At";"complete";"8/13/2026"
"1333050447";"VALPARAISO";"At--------";"complete";"8/13/2026"
"1333197165";"VALPARAISO";"At--------";"complete";"8/14/2026"
"1333214042";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1333238991";"VINA DEL MAR";"At--------";"complete";"8/13/2026"
"1333259564";"VALPARAISO";"At--------";"complete";"8/13/2026"
"1332806037";"VINA DEL MAR";"At--------";"complete";"8/11/2026"
"1332012275";"VINA DEL MAR";"At--------";"complete";"8/10/2026"
"1332069001";"SAN ANTONIO";"At--------";"complete";"8/12/2026"
"1330464600";"VINA DEL MAR";"At--------";"complete";"8/6/2026"
"1330496219";"VINA DEL MAR";"At--------";"complete";"8/6/2026"
"1330515522";"VALPARAISO";"At--------";"complete";"8/12/2026"
"1330591960";"VINA DEL MAR";"At--------";"complete";"8/6/2026"
"1330614832";"VALPARAISO";"At--------";"complete";"8/10/2026"
"1330624688";"VINA DEL MAR";"At--------";"complete";"8/9/2026"
"1330625663";"VINA DEL MAR";"At--------";"complete";"8/6/2026"
